order_id,user_id,restaurant_id,total_amount,name,city,membership,user_user_id,restaurant_name,cuisine,rating
1,2508,450,842.97,User_2508,Hyderabad,Regular,2508,New Foods Chinese,,
2,2693,309,546.68,User_2693,Pune,Regular,2693,Ruchi Curry House Multicuisine,,
3,2084,107,163.93,User_2084,Chennai,Gold,2084,Spice Kitchen Punjabi,,
4,319,224,1155.97,User_319,Bangalore,Gold,319,Darbar Kitchen Non-Veg,,
5,1064,293,1321.91,User_1064,Pune,Regular,1064,Royal Eatery South Indian,,
6,2933,499,1497.22,User_2933,Chennai,Regular,2933,Annapurna Tiffins South Indian,,
7,970,35,129.21,User_970,Bangalore,Regular,970,Royal Biryani North Indian,,
8,891,57,269.19,User_891,Pune,Regular,891,Spice Mess Punjabi,,
9,364,7,953.3,User_364,Chennai,Gold,364,Ruchi Biryani Punjabi,,
10,2972,183,351.41,User_2972,Bangalore,Regular,2972,Taste of Biryani Non-Veg,,
11,924,235,523.82,User_924,Chennai,Regular,924,Amma Delights Family Restaurant,,
12,884,423,1484.65,User_884,Pune,Gold,884,Royal Tiffins Multicuisine,,
13,1958,244,216.59,User_1958,Chennai,Regular,1958,Amma Tiffins South Indian,,
14,364,112,898.24,User_364,Chennai,Gold,364,Grand Cafe Punjabi,,
15,1733,383,1098.41,User_1733,Pune,Regular,1733,Amma Biryani North Indian,,
16,1321,149,475.74,User_1321,Pune,Gold,1321,Amma Restaurant South Indian,,
17,1896,421,1002.51,User_1896,Pune,Regular,1896,Ruchi Foods Chinese,,
18,1617,414,736.89,User_1617,Pune,Gold,1617,Darbar Delights South Indian,,
19,330,73,392.59,User_330,Chennai,Regular,330,Spice Mess Andhra,,
20,2567,52,362.01,User_2567,Bangalore,Gold,2567,Udupi Curry House South Indian,,
21,1610,186,743.68,User_1610,Pune,Regular,1610,Darbar Restaurant North Indian,,
22,688,279,507.82,User_688,Hyderabad,Gold,688,Sri Tiffins Andhra,,
23,2640,83,1025.36,User_2640,Bangalore,Gold,2640,Darbar Mess Pure Veg,,
24,2403,434,412.5,User_2403,Pune,Gold,2403,Amma Kitchen Punjabi,,
25,288,18,147.9,User_288,Pune,Regular,288,Annapurna Kitchen Family Restaurant,,
26,2915,129,933.31,User_2915,Chennai,Gold,2915,New Cafe North Indian,,
27,1056,399,678.38,User_1056,Bangalore,Regular,1056,Swagath Cafe Multicuisine,,
28,2370,63,900.74,User_2370,Bangalore,Regular,2370,Ruchi Foods South Indian,,
29,2905,115,903.0,User_2905,Pune,Gold,2905,Annapurna Eatery Non-Veg,,
30,2009,18,996.26,User_2009,Chennai,Gold,2009,Annapurna Kitchen Family Restaurant,,
31,1986,190,199.16,User_1986,Bangalore,Regular,1986,Amma Restaurant Pure Veg,,
32,1407,93,741.1,User_1407,Pune,Gold,1407,Swagath Cafe Multicuisine,,
33,1761,346,957.07,User_1761,Bangalore,Gold,1761,Amma Dhaba Non-Veg,,
34,844,350,455.96,User_844,Chennai,Gold,844,Classic Curry House South Indian,,
35,2858,291,121.81,User_2858,Hyderabad,Regular,2858,Annapurna Foods Non-Veg,,
36,186,113,140.83,User_186,Chennai,Regular,186,Darbar Biryani Pure Veg,,
37,952,34,1198.64,User_952,Chennai,Gold,952,Ruchi Dhaba Multicuisine,,
38,2972,376,751.82,User_2972,Bangalore,Regular,2972,Amma Cafe Non-Veg,,
39,118,170,596.06,User_118,Pune,Regular,118,Spice Tiffins Family Restaurant,,
40,2773,63,622.5,User_2773,Pune,Gold,2773,Ruchi Foods South Indian,,
41,1071,145,753.16,User_1071,Hyderabad,Gold,1071,Amma Restaurant South Indian,,
42,2274,121,955.51,User_2274,Chennai,Regular,2274,Sri Delights Non-Veg,,
43,380,256,850.52,User_380,Bangalore,Regular,380,Sri Curry House Andhra,,
44,633,161,512.14,User_633,Pune,Gold,633,Annapurna Biryani South Indian,,
45,1146,426,914.87,User_1146,Pune,Gold,1146,Royal Foods Non-Veg,,
46,2294,72,602.82,User_2294,Pune,Regular,2294,Sri Foods Chinese,,
47,505,69,929.24,User_505,Hyderabad,Gold,505,Classic Tiffins Punjabi,,
48,372,397,957.14,User_372,Chennai,Regular,372,Amma Foods Family Restaurant,,
49,2911,234,183.82,User_2911,Pune,Regular,2911,Swagath Kitchen North Indian,,
50,1673,118,298.54,User_1673,Chennai,Regular,1673,Amma Mess Pure Veg,,
51,1853,381,893.66,User_1853,Hyderabad,Gold,1853,New Delights North Indian,,
52,799,462,1423.59,User_799,Chennai,Regular,799,Grand Curry House Family Restaurant,,
53,638,262,261.16,User_638,Hyderabad,Regular,638,Hotel Cafe Punjabi,,
54,1042,266,334.11,User_1042,Pune,Gold,1042,Annapurna Delights Multicuisine,,
55,2610,172,838.38,User_2610,Pune,Regular,2610,Darbar Eatery Family Restaurant,,
56,2560,215,1499.8,User_2560,Pune,Gold,2560,Spice Biryani Punjabi,,
57,392,273,852.11,User_392,Chennai,Regular,392,Swagath Delights Andhra,,
58,606,361,1281.55,User_606,Hyderabad,Gold,606,Royal Dhaba Punjabi,,
59,1785,247,169.22,User_1785,Bangalore,Gold,1785,Hotel Mess Punjabi,,
60,1077,373,544.55,User_1077,Chennai,Regular,1077,Sai Delights Chinese,,
61,1753,130,1134.71,User_1753,Hyderabad,Gold,1753,Royal Restaurant South Indian,,
62,723,165,722.78,User_723,Bangalore,Gold,723,Udupi Kitchen Chinese,,
